Member_ID,Name,Postcode,Fine
296056,Tiffany Martinez,AXP9CMY,0.0
389069,Lauren Baker,AXP9M57,0.0
311733,Aaron Guerra,AXPY4LX,0.0
814721,David Mcgrath,AXPMTNR,
57137,Susan Forbes,AXP8PV2,5.0
852915,Carl Haney,AXPANPH,0.0
798956,Tracey Rodriguez,AXP0SU7,0.0
277544,Mitchell Ellis,AXP680O,0.0
294423,Manuel Bishop,AXPY9RR,5.0
794983,William Goodman,AXPKZEM,0.0
912560,Kelly Ferguson,AXPW32S,
293226,Alyssa Cruz,AXPUQZI,5.0
534020,James Irwin,AXPQX83,0.0
480890,Charles Johnson,AXPS8OE,
766896,David Briggs,AXPFPJR,0.0
269590,Jamie Wyatt,AXPS7SO,
210575,Mark Blanchard,AXP43O5,0.0
723436,Rhonda Martinez,AXPHE4K,0.0
171961,Nicholas Chang,AXP5YN5,0.0
528162,Christina Smith,AXP9RVH,
950795,William Ibarra,AXPS8XL,0.0
95045,Cheryl Holloway DVM,AXPKJA1,0.0
56610,Curtis Velez,AXPSI63,0.0
199552,Leah Peterson,AXPKZEM,0.0
11615,Kelly Brown,AXP4SF6,0.0
85448,Peter Vargas,AXP99SF,5.0
480042,Dr. Deborah Huffman,AXPRUOT,0.0
318820,Kathryn Harris,AXPDRIZ,0.0
756695,Paul Martinez,AXPDAOJ,
617486,Ashley Rush,AXPIUU5,0.0
544175,John Green,AXPFPH7,
780579,Ronald Ford,AXPG6M4,
977987,Justin Lawson,AXPBS27,0.0
236900,Angela Gonzalez,AXP26CG,0.0
332319,Michael Malone MD,AXP4G60,
135859,Wendy Campbell,AXPG1MO,0.0
960018,Thomas Vasquez,AXPEHD8,0.0
7984,Mary Medina,AXP70Q2,
861862,Michael Jenkins,AXPOGQE,5.0
621241,Walter Fox,AXPQQQ4,0.0
818664,Heather Mccall,AXPODOC,0.0
534393,Richard Lyons,AXPVB93,0.0
504982,Olivia Bailey,AXPIASO,5.0
232448,Erik Wright,AXP4JCP,
833653,Loretta Brooks,AXPL9U1,
40338,Michael Miller,AXP4NU6,0.0
794348,Jill Faulkner,AXPYOJP,0.0
111384,Wanda Leon,AXP6ZRZ,
292186,Stephanie Hodges,AXPB4BZ,0.0
189597,Joanna Mcdaniel MD,AXP5SS5,0.0
613546,Allison Poole,AXPL1M1,10.0
220356,William Huber,AXPALRC,0.0
582254,Joshua Ramos,AXP5ESB,5.0
262732,Patricia Stewart,AXPOG8U,5.0
12937,Daniel Taylor,AXPM22U,0.0
176191,Madison Hall,AXPSREU,
543871,Jonathan Nelson,AXPH43V,0.0
306668,Heidi Gomez,AXP6WJI,0.0
824552,Erin Anderson,AXPPBBM,0.0
892785,Michael Chavez,AXPADPL,0.0
178775,Alexander Collins,AXPRYR3,0.0
828045,Judith Anderson,AXPF3S4,0.0
165205,Lori Williams,AXPRS7B,
105867,Christina Good,AXP6QDW,0.0
294461,Megan Clark,AXPCP44,
598538,Christopher Kelly,AXPJ6JK,
519429,Ian Wilson,AXPQSRI,0.0
437780,Kristen Riley,AXPTKS1,0.0
726912,Donald Williams,AXPLGCU,0.0
732152,Adam Ward,AXPZSAT,
291347,Michael Morris,AXP7C7G,0.0
462081,David Ross,AXPVKRC,10.0
829126,Lori Lee,AXP9LT7,0.0
829311,Wendy Lee,AXP5FGV,5.0
11111,Renee Sanchez,AXPJ2LJ,5.0
136890,Patricia Webb,AXP7W95,0.0
592300,Angel Villarreal,AXPSMYM,
828611,Jay Smith,AXP0IVV,10.0
850473,Kathleen Cummings,AXPSGMH,5.0
43640,Daniel Martinez,AXP52PZ,0.0
469366,Thomas Jones,AXP3Z5R,0.0
781388,Paul Watkins,AXPWI7W,0.0
212037,James Miller,AXPRS7B,0.0
232383,Scott Thompson,AXPL4O3,
477402,Heather Garcia,AXPTX5L,0.0
745430,Kristine Giles,AXPD61O,0.0
59660,Elizabeth Dunlap,AXPHBTB,5.0
342234,Angela Davis MD,AXPHB56,0.0
267404,Ryan Edwards,AXPSEQA,
442975,Ashley Stokes,AXP2UP3,10.0
707910,Brooke Lee,AXP32IK,0.0
378916,Daniel Simmons,AXP9V0C,5.0
607576,Matthew Osborne,AXPH2VU,
223512,Cheyenne Price,AXPS99P,10.0
494662,Bradley Wilkinson,AXPEOR1,
654200,Hannah Williams,AXPRJPE,
2960,Abigail Weeks PhD,AXPU8T0,0.0
675704,Steven Nichols,AXPZYZO,
957529,Lauren Gordon,AXPHCRV,0.0
609731,Joseph Wade,AXPV6DE,5.0
670510,Anthony Dean,AXPBZGO,0.0
182805,Rebecca Holloway,AXPZUIB,
461989,Ryan Bailey,AXPUAWC,0.0
1243,Zachary Rangel,AXP589D,0.0
850387,Jacob Roberts,AXP9GXP,
401976,David Jensen,AXP5Q44,0.0
141825,Alexandra Turner,AXPHB56,0.0
106439,Jacob Sullivan,AXPDZY7,10.0
346522,Martin Garcia,AXPAY5Q,0.0
236383,Matthew Brown,AXPJJML,0.0
341278,Shaun Walsh,AXP0PYJ,0.0
364226,Andrew Johnson,AXPES7Z,0.0
315132,Alan Romero,AXPBS27,
219751,Anne Fox,AXP43O5,10.0
164643,Alexandra Thompson,AXPZ2B4,0.0
112985,Victoria Christensen,AXPQHNR,0.0
506335,Tara Lopez,AXPPK5I,10.0
110180,Amber Oliver,AXPAXYQ,0.0
89430,Ashley Russell,AXPH0M5,5.0
847904,Joann Bryant,AXPJGHG,0.0
857100,Luke Jones,AXPACXO,0.0
911409,Robert Mendoza,AXPP51V,
742404,Scott Cline,AXPXKNZ,0.0
54228,David Melton,AXPJRZO,
973746,Brian Brown,AXP3TM7,0.0
816054,Kristie Garcia,AXP01KS,
426504,Lisa Hicks,AXP0AVV,
560798,Cynthia Campbell,AXP6ZRZ,5.0
886568,Jason Carter,AXPT9ZK,0.0
403928,Terri Douglas,AXP4T56,
172628,James Stout,AXPS14N,0.0
639229,Jamie Miller,AXPVW94,0.0
969399,Mark Wallace,AXPC4LX,
922914,Susan Thompson,AXPGGJH,
942469,Casey Hamilton,AXP74VB,10.0
616891,Dr. Sara Griffith,AXPRUL0,0.0
739363,Michael Carr,AXPGI7N,0.0
921118,Mark Clark,AXPK77X,0.0
229935,Abigail Scott,AXPM4QZ,10.0
39900,Jack Avila,AXP5FGV,
450948,Christine Arnold,AXPVGV0,10.0
381326,Samantha Bonilla,AXP22N0,0.0
274971,Daniel Silva,AXPAWZA,
503406,Lisa Leon,AXPHVO4,0.0
146667,Sharon Huff,AXP7U0Z,0.0
613494,Ralph Pineda,AXPP9UQ,10.0
618757,Catherine Mason,AXPBAQD,
482167,Donald James,AXPE21A,0.0
121173,Judy Mcclure,AXPYBWS,0.0
427997,Victoria Shea,AXPLEBL,
308736,Alyssa Bradley,AXPJ85Y,0.0
882817,Jeffrey Patrick,AXPVZ0N,0.0
704568,Robert Rodriguez,AXPQQQ4,0.0
747309,Corey Vargas,AXP03DF,0.0
97150,Steven Shaw,AXPJJML,5.0
544888,Richard Kennedy,AXPW5IG,10.0
694667,Zachary Mills,AXPKQS8,5.0
46510,Christopher Scott,AXPTRC4,0.0
718518,Michael Carlson,AXPEK9W,
633627,Mark Walters,AXPKGA7,0.0
769404,Melanie Holmes,AXP1D3Z,
931990,Shelley Young,AXP422J,
952428,Ms. Melissa Johnson MD,AXPALRC,5.0
84296,Angela Jones,AXPAD96,0.0
706147,Johnny Foster,AXPPTC5,0.0
467801,Elizabeth Thomas,AXPAY98,
347118,Misty King,AXPJ060,0.0
535335,Nathan Gutierrez,AXPLD8U,
29267,John Scott,AXPC1S9,
446352,Ronald Bowman,AXP7F7B,0.0
808754,Brian Joseph,AXPR549,0.0
90032,Daniel Schultz,AXP3FIK,0.0
592355,Jonathan Perkins,AXPW5NI,
833043,Nicole Love,AXPGWB9,
495421,Kenneth Lambert,AXPVD49,
374368,Barbara Floyd,AXPMITW,0.0
310332,Danielle Kim,AXPBNEM,
731350,Cody Bolton,AXPPPYU,0.0
329569,Tiffany Lee,AXP0AVV,0.0
823168,Cheryl Pacheco,AXP7J6E,
296450,Diane Small,AXP3R57,0.0
826401,Daniel King,AXPP8XI,
338340,Mark Rogers,AXPX1XR,0.0
727432,Karen Chavez,AXPBT07,0.0
865026,Susan Adams,AXP8IVC,0.0
590501,Tammy Pollard,AXPVQWJ,0.0
837150,Jason Barker,AXP7MOE,
304902,Douglas Nelson,AXPJIE2,10.0
605651,Joseph Velasquez,AXPQGA2,0.0
259656,Jasmine Mcgee,AXP53CX,5.0
121846,Casey Stephens,AXPZ5EM,0.0
302526,Crystal Velez,AXPFZ17,0.0
680084,Tamara Rogers,AXPQPYK,10.0
948236,Erika Wade,AXPKMF4,0.0
385181,Frederick Blake,AXPWF6A,0.0
962341,Michael Tran,AXPT0HF,0.0
645334,Robert Roth,AXP6ZRZ,0.0
500825,Charles Hess,AXPMTNR,5.0
535640,Mark Cooley,AXPUT3D,0.0
207218,Kristin Brown,AXP9VZ9,10.0
758272,Eric Reyes,AXPASHN,0.0
993254,Shannon Berry,AXPTKOS,0.0
99377,Cynthia Heath,AXP9CTI,10.0
771540,Breanna Stephens,AXP6POD,0.0
147491,Allen Brooks,AXPKGA7,5.0
217665,Anthony Moore,AXP9M58,0.0
16153,Emily Wagner,AXPZ6JK,5.0
275633,Ryan Pitts,AXPOQ94,0.0
104361,Patricia Boyd,AXPJ8HN,0.0
744022,Peter Bond,AXPZKB2,0.0
366106,Laurie Nielsen,AXPQSMD,0.0
967993,Eric Garcia,AXPOL77,10.0
446293,Wesley Bonilla,AXPUQZI,0.0
241219,Cynthia Brown,AXP5J8G,
659449,Samantha Smith,AXP93T0,0.0
498427,Stacey Williams,AXPVQWJ,0.0
164260,George Lynn,AXPDW97,0.0
82759,Howard Yates,AXPVU17,10.0
950341,John Kim,AXPWELP,
782191,Adam Guzman,AXP5TJN,0.0
424490,Benjamin Willis,AXPMPTY,0.0
817428,Miranda Mason,AXPB6UN,0.0
330978,Allison Lee,AXPJTVO,0.0
431849,Mary Williams,AXPRYLC,0.0
962503,Kathryn Hayes,AXPLD8U,10.0
662954,Joshua Mckenzie,AXPTKOS,0.0
861044,Rhonda Walker,AXPQDLY,0.0
281976,Jennifer Adams,AXP4W57,0.0
321181,Stacy Roberts,AXPDWV3,5.0
45319,Sandra Wheeler,AXPVD6K,0.0
362994,Michele Barnes,AXPRPUN,5.0
48190,Richard Ortiz,AXPPOL0,0.0
253193,Mr. Gregory Le MD,AXPXFN9,0.0
143050,Kathleen Tate,AXP45FF,0.0
584675,Amanda Morgan,AXP51LR,0.0
821683,Megan Harris,AXPWPIF,5.0
890420,Jason Martinez Jr.,AXP58XQ,0.0
110749,Annette Miller,AXPBT07,
581179,Angela Peterson,AXPSTBV,0.0
742962,James Morgan,AXPIC1J,0.0
930503,Joshua Chen,AXPEXKR,0.0
857755,Pamela Strong,AXPFDPC,
25924,Terri Jacobson,AXP8ELO,0.0
87060,Mary Atkinson,AXPSOH7,
365447,Kenneth Joyce,AXPKLOX,0.0
903764,Andrea Shields,AXPRUOT,10.0
507537,Jane Duncan,AXPLLR8,0.0
468712,Rebecca Morrison,AXPWJ5N,10.0
910184,Jodi Smith,AXPRSX9,10.0
676799,Paul Hoffman,AXPZYZO,
703106,Kevin Velasquez,AXPBJJE,
602265,Luis Friedman MD,AXP4NLG,
436770,Kristi Hammond,AXPYR4X,10.0
690142,Tammy Rios,AXPUGCU,0.0
168054,William Page,AXPI96B,0.0
346880,Kerri Franco,AXP7L2O,
150092,Rebecca Fox,AXPZ6JQ,10.0
885939,Amy Morales,AXPOYNS,10.0
343450,Anna Huffman,AXP89WX,0.0
566586,Crystal Silva,AXPTD3D,0.0
615466,Kari Thompson,AXP5D5B,10.0
658383,Kathleen Marshall,AXPOSNK,0.0
31461,Kim Lopez,AXPVV17,
79201,Catherine Vaughn,AXP1ZWN,0.0
777330,Melissa Chavez,AXPO9UX,
658404,Joshua Roach,AXP5IXF,0.0
72296,Kenneth Johnson,AXP0QF4,0.0
311501,Julie Bentley,AXPTOWP,5.0
841900,Sarah Jackson,AXPS364,0.0
